date,cz_retence_orders,cz_retence_revenue_with_vat,cz_zbytek_orders,cz_zbytek_revenue_with_vat,cz_total_orders,cz_total_revenue_with_vat,sk_retence_orders,sk_retence_revenue_with_vat,sk_zbytek_orders,sk_zbytek_revenue_with_vat,sk_total_orders,sk_total_revenue_with_vat,total_orders,total_revenue_with_vat,total_revenue_without_stores_with_vat
2026-06-02,342,531455.0,12,17371.0,354,548826.0,42,71342.40000000001,0,0.0,42,71342.40000000001,396,620168.4,620168.4
2026-06-03,358,526123.0,14,23112.0,372,549235.0,32,62073.33000000001,5,3303.7599999999998,37,65377.09000000001,409,614612.09,614612.09
2026-06-04,255,423582.71,15,22470.68,270,446053.39,30,66365.65000000001,3,3678.7200000000003,33,70044.37000000001,303,516097.76,516097.76
2026-06-05,248,375600.7,9,9766.0,257,385366.7,22,37966.65,1,6593.89,23,44560.54,280,429927.24,429927.24
2026-06-06,150,230586.0,6,8069.0,156,238655.0,19,32091.32,3,4008.69,22,36100.01,178,274755.01,274755.01
2026-06-07,422,608896.0,19,17110.71,441,626006.71,55,87259.90000000001,1,1300.78,56,88560.68000000001,497,714567.39,714567.39
2026-06-08,195,334558.54000000004,9,17604.0,204,352162.54000000004,21,44840.03,0,0.0,21,44840.03,225,397002.57000000007,397002.57000000007
2026-06-09,245,455538.0,6,6970.0,251,462508.0,29,72954.07,1,278.15,30,73232.22,281,535740.22,535740.22
2026-06-10,274,506231.4,9,7788.0,283,514019.4,23,43269.29999999999,0,0.0,23,43269.29999999999,306,557288.7,557288.7
2026-06-11,269,452588.44,8,9492.0,277,462080.44,27,70430.22,0,0.0,27,70430.22,304,532510.66,532510.66
2026-06-12,273,443237.07,9,14430.0,282,457667.07,30,73780.36,0,0.0,30,73780.36,312,531447.43,531447.43
2026-06-13,157,266391.0,7,8952.0,164,275343.0,5,12347.86,0,0.0,5,12347.86,169,287690.86,287690.86
2026-06-14,279,456277.17000000004,13,15831.0,292,472108.17000000004,24,68754.48000000001,0,0.0,24,68754.48000000001,316,540862.65,540862.65
2026-06-15,331,565992.59,14,18946.47,345,584939.0599999999,35,68481.78000000001,0,0.0,35,68481.78000000001,380,653420.84,653420.84
2026-06-16,292,459094.0,18,19872.0,310,478966.0,35,95964.49000000002,1,1581.66,36,97546.15000000002,346,576512.15,576512.15
2026-06-17,251,434458.28,13,13494.0,264,447952.28,31,73882.62,0,0.0,31,73882.62,295,521834.9,521834.9
2026-06-18,290,472015.0,13,11979.0,303,483994.0,29,61002.99999999999,1,2324.77,30,63327.76999999999,333,547321.77,547321.77
2026-06-19,248,409891.1,11,13325.0,259,423216.1,25,47850.66000000002,2,3731.8999999999996,27,51582.56000000002,286,474798.66,474798.66
2026-06-20,145,244348.0,6,5248.0,151,249596.0,21,36304.54,2,1548.93,23,37853.47,174,287449.47,287449.47
2026-06-21,433,745500.38,10,13831.0,443,759331.38,44,86253.63000000002,1,530.4,45,86784.03000000001,488,846115.41,846115.41
2026-06-22,265,454454.67,9,8487.0,274,462941.67,26,58436.880000000005,1,286.33,27,58723.21000000001,301,521664.88,521664.88
2026-06-23,258,474413.87,9,9828.380000000001,267,484242.25,29,60885.73000000002,2,2594.74,31,63480.470000000016,298,547722.72,547722.72
2026-06-24,217,359749.0,8,11092.0,225,370841.0,25,51413.51000000001,1,853.55,26,52267.06000000001,251,423108.06,423108.06
2026-06-25,151,225875.19,9,16357.0,160,242232.19,22,47437.54,0,0.0,22,47437.54,182,289669.73,289669.73
2026-06-26,100,169037.0,12,18543.0,112,187580.0,14,46473.52999999999,3,5558.98,17,52032.509999999995,129,239612.51,239612.51
2026-06-27,76,129913.34,6,5501.0,82,135414.34,8,18610.399999999998,1,1232.6,9,19842.999999999996,91,155257.34,155257.34
2026-06-28,166,301248.0,7,5213.22,173,306461.22,22,43698.8,1,530.4,23,44229.200000000004,196,350690.42,350690.42
2026-06-29,313,499468.0,11,16078.71,324,515546.71,31,58458.710000000014,0,0.0,31,58458.710000000014,355,574005.42,574005.42
2026-06-30,409,670877.0,16,19480.47,425,690357.47,33,64863.05000000001,1,1441.22,34,66304.27,459,756661.74,756661.74
2026-07-01,352,533065.9099999999,5,9067.470000000001,357,542133.3799999999,35,63614.08,1,920.36,36,64534.44,393,606667.8199999998,606667.8199999998
2026-07-02,300,477763.10000000003,11,13332.41,311,491095.51,25,50649.950000000004,0,0.0,25,50649.950000000004,336,541745.46,541745.46
2026-07-03,191,298866.81,8,10095.0,199,308961.81,29,50553.10999999999,0,0.0,29,50553.10999999999,228,359514.92,359514.92
2026-07-04,115,178070.0,1,161.0,116,178231.0,16,26736.890000000003,0,0.0,16,26736.890000000003,132,204967.89,204967.89
2026-07-05,173,266284.0,13,13110.0,186,279394.0,33,54969.50000000001,1,1611.66,34,56581.16000000001,220,335975.16000000003,335975.16000000003
2026-07-06,323,484493.0,10,16909.0,333,501402.0,55,111440.21,2,1366.23,57,112806.44,390,614208.44,614208.44
2026-07-07,488,735772.0,16,22488.0,504,758260.0,71,123361.28000000003,0,0.0,71,123361.28000000003,575,881621.28,881621.28
2026-07-08,192,339512.13,11,11080.0,203,350592.13,21,44489.63999999999,1,2645.19,22,47134.829999999994,225,397726.96,397726.96
2026-07-09,59,94504.0,3,2866.0,62,97370.0,4,4937.23,0,0.0,4,4937.23,66,102307.23,102307.23
